#count_fl: Number of associated FL reads
#norm_fl : count_fl / total number of FL reads supporting a mapped isoform
#Total Number of FL reads supporting a mapped isoform: 4195_test
pbid	count_fl	norm_fl
PB.1.2	10	2.38E+02
PB.10.1	20	4.77E+02
PB.100.2	15	3.58E+02
PB.10008.4	2	4.77E+01
PB.10008.5	8	1.91E+02
PB.1001.1	3	7.15E+01
PB.1002.18	7	1.67E+02
PB.1002.4	3	7.15E+01
PB.1002.5	3	7.15E+01
PB.10032.1	2	4.77E+01
PB.10034.1	4	9.54E+01
PB.10047.1	2	4.77E+01
PB.10047.3	2	4.77E+01
PB.10048.10	6	1.43E+02
PB.10048.11	11	2.62E+02
PB.10048.3	8	1.91E+02
PB.10048.4	3	7.15E+01
PB.10048.5	4	9.54E+01
PB.10048.7	80	1.91E+03
PB.10049.1	4	9.54E+01
PB.10049.2	2	4.77E+01
PB.10050.1	13	3.10E+02
PB.10050.2	100	2.38E+03
PB.10050.3	5	1.19E+02
PB.10052.1	10	2.38E+02
PB.10052.2	20	4.77E+02
PB.10052.3	15	3.58E+02
PB.10052.5	2	4.77E+01
PB.10052.8	8	1.91E+02
PB.10052.9	3	7.15E+01
PB.10053.1	7	1.67E+02
PB.10053.10	3	7.15E+01
PB.10053.13	3	7.15E+01
PB.10053.14	2	4.77E+01
PB.10053.15	4	9.54E+01
PB.10053.18	2	4.77E+01
PB.10053.20	2	4.77E+01
PB.10053.21	6	1.43E+02
PB.10053.22	11	2.62E+02
PB.10053.24	8	1.91E+02
PB.10053.25	3	7.15E+01
PB.10053.26	4	9.54E+01
PB.10053.3	80	1.91E+03
PB.10053.5	4	9.54E+01
PB.10053.6	2	4.77E+01
PB.10053.7	13	3.10E+02
PB.10053.8	100	2.38E+03
PB.10053.9	5	1.19E+02
PB.10058.14	2	4.77E+01
PB.10058.15	2	4.77E+01
PB.10058.19	6	1.43E+02
PB.10058.2	11	2.62E+02
PB.10058.6	8	1.91E+02
PB.10059.1	3	7.15E+01
PB.10059.4	4	9.54E+01
PB.10060.2	80	1.91E+03
PB.10063.1	4	9.54E+01
PB.10063.10	2	4.77E+01
PB.10063.12	13	3.10E+02
PB.10063.4	100	2.38E+03
PB.10063.6	5	1.19E+02
PB.10063.7	10	2.38E+02
PB.10063.8	20	4.77E+02
PB.10064.1	15	3.58E+02
PB.10064.10	2	4.77E+01
PB.10064.11	8	1.91E+02
PB.10064.2	3	7.15E+01
PB.10064.25	7	1.67E+02
PB.10064.28	3	7.15E+01
PB.10064.29	3	7.15E+01
PB.10064.32	2	4.77E+01
PB.10064.38	4	9.54E+01
PB.10064.41	2	4.77E+01
PB.10064.42	2	4.77E+01
PB.10064.45	6	1.43E+02
PB.10064.50	11	2.62E+02
PB.10066.1	8	1.91E+02
PB.10067.2	3	7.15E+01
PB.10067.3	4	9.54E+01
PB.10067.4	80	1.91E+03
PB.10067.5	4	9.54E+01
PB.10069.1	2	4.77E+01
PB.10070.1	13	3.10E+02
PB.10070.11	100	2.38E+03
PB.10070.12	5	1.19E+02
PB.10070.13	2	4.77E+01
PB.10070.15	2	4.77E+01
PB.10070.17	6	1.43E+02
PB.10070.18	11	2.62E+02
PB.10070.6	8	1.91E+02
PB.10071.24	3	7.15E+01
PB.10071.25	4	9.54E+01
PB.10071.26	80	1.91E+03
PB.10071.27	4	9.54E+01
PB.10072.10	2	4.77E+01
PB.10072.11	13	3.10E+02
PB.10072.16	100	2.38E+03
PB.10072.18	5	1.19E+02
PB.10072.5	10	2.38E+02
PB.10072.6	20	4.77E+02
PB.10072.7	15	3.58E+02
PB.10072.8	2	4.77E+01
PB.10073.1	8	1.91E+02
PB.10073.3	3	7.15E+01
PB.10076.14	7	1.67E+02
PB.10076.15	3	7.15E+01
PB.10076.20	3	7.15E+01
PB.10076.23	2	4.77E+01
PB.10076.41	4	9.54E+01
PB.10076.42	2	4.77E+01
PB.10076.43	2	4.77E+01
PB.10076.49	6	1.43E+02
PB.10076.5	11	2.62E+02
PB.10076.55	8	1.91E+02
PB.10076.56	3	7.15E+01
PB.10076.9	4	9.54E+01
PB.10080.2	80	1.91E+03
PB.10081.10	4	9.54E+01
PB.10081.11	2	4.77E+01
PB.10081.12	13	3.10E+02
PB.10081.14	100	2.38E+03
PB.10081.15	5	1.19E+02
PB.10081.16	10	2.38E+02
PB.10081.2	20	4.77E+02
PB.10081.3	15	3.58E+02
PB.10081.4	2	4.77E+01
PB.10081.6	8	1.91E+02
PB.10081.7	3	7.15E+01
PB.10081.8	7	1.67E+02
PB.10081.9	3	7.15E+01
PB.10083.3	3	7.15E+01
PB.10085.24	2	4.77E+01
PB.10086.13	4	9.54E+01
PB.10086.14	2	4.77E+01
PB.10086.8	2	4.77E+01
PB.10086.9	6	1.43E+02
PB.10088.2	11	2.62E+02
PB.10089.1	8	1.91E+02
PB.1009.5	3	7.15E+01
PB.10092.18	4	9.54E+01
PB.10092.28	80	1.91E+03
PB.10092.32	4	9.54E+01
PB.10092.50	2	4.77E+01
PB.10092.51	13	3.10E+02
PB.10092.59	100	2.38E+03
PB.10092.61	5	1.19E+02
PB.10092.65	10	2.38E+02
PB.10092.79	20	4.77E+02
PB.10092.81	15	3.58E+02
PB.10092.9	2	4.77E+01
PB.10093.3	8	1.91E+02
PB.10094.1	3	7.15E+01
PB.10094.10	7	1.67E+02
PB.10094.11	3	7.15E+01
PB.10094.12	3	7.15E+01
PB.10094.13	2	4.77E+01
PB.10094.14	4	9.54E+01
PB.10094.15	2	4.77E+01
PB.10094.16	2	4.77E+01
PB.10094.17	6	1.43E+02
PB.10094.19	11	2.62E+02
PB.10094.20	8	1.91E+02
PB.10094.21	3	7.15E+01
PB.10094.3	4	9.54E+01
PB.10094.31	80	1.91E+03
PB.10094.32	4	9.54E+01
PB.10094.33	2	4.77E+01
PB.10094.4	13	3.10E+02
PB.10094.41	100	2.38E+03
PB.10094.5	5	1.19E+02
PB.10094.6	10	2.38E+02
PB.10094.7	20	4.77E+02
PB.10094.8	15	3.58E+02
PB.10094.9	2	4.77E+01
PB.10095.1	8	1.91E+02
PB.10095.2	3	7.15E+01
PB.10095.3	7	1.67E+02
PB.10096.1	3	7.15E+01
PB.101.1	3	7.15E+01
PB.10103.1	2	4.77E+01
PB.10113.10	4	9.54E+01
PB.10113.13	2	4.77E+01
PB.10113.17	2	4.77E+01
PB.10113.18	6	1.43E+02
PB.10113.2	11	2.62E+02
PB.10113.24	8	1.91E+02
PB.10113.4	3	7.15E+01
PB.10113.9	4	9.54E+01
PB.10122.1	80	1.91E+03
PB.10122.100	4	9.54E+01
PB.10122.11	2	4.77E+01
PB.10122.12	13	3.10E+02
PB.10122.13	100	2.38E+03
PB.10122.15	5	1.19E+02
